#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-06-26T21:50:04 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)
#INFO	-ref=VIZ51cb61571d6b
#INFO	-out.max=unlimited
#INFO	queryParameters=23
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:III/176&cat:J/ApJS/194/38&cat:J/A+A/291/121&cat:J/A+A/308/481&cat:J/A+A/330/515&cat:J/A+A/442/229&cat:J/A+A/460/459&cat:J/A+AS/113/483&cat:J/A+AS/121/327&cat:J/A+AS/125/313&cat:J/A+AS/125/321&cat:J/AJ/108/1016&cat:J/AJ/115/168&cat:J/AJ/132/1714&cat:J/AJ/136/1645&cat:J/AJ/139/2014&cat:J/MNRAS/375/1381&cat:J/MNRAS/396/553&cat:J/MNRAS/422/2116&cat:J/MNRAS/423/993&cat:J/AZh/79/510&tab:{J/AZh/79/510/table1}&cat:J/PAZh/27/132&key:ucd=(spect.dopplerVeloc*|phys.veloc*)&key:source=rr+lyrae&HTTPPRM:&-ref=VIZ51cb61571d6b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-ucd=(spect.dopplerVeloc*|phys.veloc*)&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AZh/79/510/table1
#-order=I
#-out=Name
#-out=Simbad
#Simbad=Simbad
#-out=[Fe/H]
#-out=Theta
#-out=Vres
#-out=Ra
#-out=Zmax
#-out=e
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_80790510
#Name: J/AZh/79/510
#Title: Galactic orbits of RR Lyrae variable stars (Borkova+, 2002)
#Table	J_AZh_79_510_table1:
#Name: J/AZh/79/510/table1
#Title: Orbital elements for nearby RR Lyrae variables
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a8)	Name	[ucd=meta.id;meta.main]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Fe]
#Column	Theta	(I4)	Galactic azimuthal velocity component	[ucd=phys.veloc]
#Column	Vres	(I3)	Full residual velocity relative to the local solar centroid (with (U,V,W)_{sun}_=(-10, 10, 6)km/s)	[ucd=stat.fit.residual;phys.veloc]
#Column	Ra	(F4.1)	Maximum distance of the orbit for the Galatic centre (orbital apogalactic radius)	[ucd=pos.distance]
#Column	Zmax	(F4.1)	Maximum distance from the Galactic plane	[ucd=pos.distance]
#Column	e	(F5.2)	Eccentricity of galactic orbit (1)	[ucd=src.orbital.eccentricity]
#Column	_RA	(F8.4)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	Name	Simbad	[Fe/H]	Theta	Vres	Ra	Zmax	e	_RA	_DE
139.7751	+29.0655	RW Cnc  	Simbad	-1.52	   6	241	11.2	 7.4	 0.97	139.7751	+29.0655
121.6065	+23.2516	SS Cnc  	Simbad	-0.07	 130	135	10.0	 3.9	 0.32	121.6065	+23.2516
128.2299	+13.1912	TT Cnc  	Simbad	-1.58	  95	290	17.5	14.9	 0.48	128.2299	+13.1912
139.4124	+12.6509	AQ Cnc  	Simbad	-1.53	-146	486	33.4	 5.1	 0.79	139.4124	+12.6509
126.4256	+25.7191	AS Cnc  	Simbad	-1.89	  40	417	51.3	42.8	 0.67	126.4256	+25.7191
211.6166	+37.8282	W CVn   	Simbad	-1.21	 132	106	 8.5	 1.7	 0.36	211.6166	+37.8282
192.4396	+43.7740	Z CVn   	Simbad	-1.98	  -6	245	 9.9	 6.6	 0.98	192.4396	+43.7740
209.8886	+31.6511	RU CVn  	Simbad	-1.37	  60	273	15.0	 7.4	 0.80	209.8886	+31.6511
206.2626	+32.6546	RZ CVn  	Simbad	-1.92	 -21	384	24.6	15.0	 0.96	206.2626	+32.6546
207.0664	+39.9008	SS CVn  	Simbad	-1.52	  12	354	20.1	19.0	 0.99	207.0664	+39.9008
188.9835	+37.2067	SV CVn  	Simbad	-2.20	  10	279	13.5	 8.7	 0.99	188.9835	+37.2067
190.2117	+37.0927	SW CVn  	Simbad	-1.53	 -37	259	 9.4	 4.9	 0.81	190.2117	+37.0927
187.6154	+40.5089	UZ CVn  	Simbad	-2.34	-158	394	 9.9	 0.9	 0.24	187.6154	+40.5089
117.2377	+05.6365	AL CMi  	Simbad	-0.85	 202	105	12.1	 2.2	 0.25	117.2377	+05.6365
188.1901	+27.0293	S Com   	Simbad	-2.00	  63	185	 9.7	 4.1	 0.62	188.1901	+27.0293
196.2833	+23.2785	RY Com  	Simbad	-1.65	  65	163	 8.8	 3.8	 0.67	196.2833	+23.2785
199.4639	+20.7808	ST Com  	Simbad	-1.26	 -34	264	 9.1	 4.4	 0.79	199.4639	+20.7808
281.9901	-37.7396	V413 CrA	Simbad	-1.21	  86	191	 8.6	 3.8	 0.62	281.9901	-37.7396
230.5893	+26.8771	TV CrB  	Simbad	-2.33	 137	154	 9.3	 4.0	 0.29	230.5893	+26.8771
171.6235	-17.9144	W Crt   	Simbad	-0.50	 127	151	 9.9	 1.2	 0.54	171.6235	-17.9144
177.2343	-10.4413	X Crt   	Simbad	-1.75	 -39	298	10.7	 8.7	 0.82	177.2343	-10.4413
314.1179	+30.4279	UY Cyg  	Simbad	-1.03	 214	 45	 9.1	 0.3	 0.00	314.1179	+30.4279
293.1221	+56.3882	XZ Cyg  	Simbad	-1.52	 237	237	25.3	15.2	 0.50	293.1221	+56.3882
320.2982	+32.1914	DM Cyg  	Simbad	-0.14	 272	 96	15.5	 2.2	 0.30	320.2982	+32.1914
311.8682	+12.4641	DX Del  	Simbad	-0.56	 204	 73	10.1	 0.2	 0.23	311.8682	+12.4641
248.8817	+57.8398	RW Dra  	Simbad	-1.40	  97	123	 8.5	 1.0	 0.35	248.8817	+57.8398
174.4859	+67.3297	SU Dra  	Simbad	-1.74	-104	325	 9.3	 0.5	 0.00	174.4859	+67.3297
184.4443	+69.5106	SW Dra  	Simbad	-1.24	 129	118	 9.8	 0.7	 0.38	184.4443	+69.5106
287.4275	+64.8589	XZ Dra  	Simbad	-0.87	 166	 80	 8.8	 1.0	 0.23	287.4275	+64.8589
276.7781	+55.4924	AE Dra  	Simbad	-1.54	-150	426	14.3	 0.6	 0.31	276.7781	+55.4924
273.5794	+76.6857	BC Dra  	Simbad	-2.00	-193	535	52.5	45.1	 0.71	273.5794	+76.6857
289.5861	+66.4133	BK Dra  	Simbad	-2.12	 104	227	13.6	 7.6	 0.52	289.5861	+66.4133
222.9360	+60.0692	BT Dra  	Simbad	-1.55	  62	306	17.0	 9.6	 0.94	222.9360	+60.0692
072.4345	-15.7412	RX Eri  	Simbad	-1.30	 208	 79	 9.5	 1.8	 0.07	072.4345	-15.7412
047.9671	-11.3539	SV Eri  	Simbad	-2.04	  79	164	 9.8	 0.6	 0.68	047.9671	-11.3539
073.4063	-19.4336	BB Eri  	Simbad	-1.51	 -13	317	14.6	 8.0	 0.94	073.4063	-19.4336
031.9666	-26.8660	SS For  	Simbad	-1.35	 -13	295	10.6	10.3	 0.72	031.9666	-26.8660
052.5931	-36.0538	SX For  	Simbad	-1.62	 -41	305	11.1	 5.5	 0.81	052.5931	-36.0538
110.3897	+30.8832	RR Gem  	Simbad	-0.35	 231	 57	12.3	 0.6	 0.18	110.3897	+30.8832
118.4310	+19.2733	SZ Gem  	Simbad	-1.81	 -32	376	21.9	10.1	 0.92	118.4310	+19.2733
268.6300	+30.4105	TW Her  	Simbad	-0.67	 246	 31	10.5	 0.6	 0.12	268.6300	+30.4105
247.6700	+18.3668	VX Her  	Simbad	-1.52	 -56	453	39.4	19.4	 0.98	247.6700	+18.3668
258.2667	+35.9786	VZ Her  	Simbad	-1.03	  49	178	 8.2	 1.2	 0.80	258.2667	+35.9786
240.1343	+46.9238	AR Her  	Simbad	-1.40	-224	510	33.6	 3.1	 0.80	240.1343	+46.9238
260.1307	+14.4824	DL Her  	Simbad	-1.32	 239	112	11.7	 3.1	 0.25	260.1307	+14.4824
249.5754	+37.8013	GY Her  	Simbad	-1.92	 170	205	17.8	 5.6	 0.57	249.5754	+37.8013
187.6271	-26.0475	SV Hya  	Simbad	-1.70	 114	187	10.0	 3.8	 0.46	187.6271	-26.0475
138.4534	-09.3191	SZ Hya  	Simbad	-1.75	-145	406	16.6	 5.2	 0.68	138.4534	-09.3191
144.1241	+04.1113	UU Hya  	Simbad	-1.65	 -24	343	15.9	 6.9	 0.89	144.1241	+04.1113
153.3505	-13.1382	WZ Hya  	Simbad	-1.30	 -47	305	 9.3	 5.8	 0.62	153.3505	-13.1382
137.4558	-15.5997	XX Hya  	Simbad	-1.33	  46	241	13.9	 0.9	 0.81	137.4558	-15.5997
123.1326	+02.8347	DD Hya  	Simbad	-1.00	  98	163	10.9	 1.4	 0.63	123.1326	+02.8347
134.5266	-05.4402	DG Hya  	Simbad	-1.42	  46	244	11.9	 6.4	 0.80	134.5266	-05.4402
135.0738	-09.7825	DH Hya  	Simbad	-1.55	 -24	393	22.1	 1.7	 0.90	135.0738	-09.7825
128.7735	-08.8459	ET Hya  	Simbad	-1.69	-104	375	10.1	 7.9	 0.14	128.7735	-08.8459
133.7095	+06.3911	GO Hya  	Simbad	-0.83	 186	 60	 9.7	 1.4	 0.01	133.7095	+06.3911
317.8746	-45.0746	V Ind   	Simbad	-1.50	 -62	397	19.2	 8.3	 0.88	317.8746	-45.0746
315.3703	-15.2295	RV Cap  	Simbad	-1.72	-316	567	31.6	12.4	 0.61	315.3703	-15.2295
208.8115	-43.2402	V499 Cen	Simbad	-1.56	 -19	322	14.2	 7.4	 0.99	208.8115	-43.2402
023.0341	+01.3417	RR Cet  	Simbad	-1.52	  85	152	 9.2	 0.8	 0.65	023.0341	+01.3417
015.1679	-15.9577	RU Cet  	Simbad	-1.60	  13	253	 9.1	 7.7	 0.84	015.1679	-15.9577
033.8121	-10.8002	RV Cet  	Simbad	-1.32	  61	189	 9.1	 4.9	 0.63	033.8121	-10.8002
008.4095	-15.4875	RX Cet  	Simbad	-1.46	 -43	417	27.8	 3.2	 0.94	008.4095	-15.4875
037.1352	-08.3584	RZ Cet  	Simbad	-1.50	 108	180	12.0	 3.8	 0.52	037.1352	-08.3584
001.0214	-16.9976	UU Cet  	Simbad	-1.32	  56	310	20.6	 3.0	 0.87	001.0214	-16.9976
030.0693	-16.3461	XZ Cet  	Simbad	-2.27	 152	190	12.4	 6.1	 0.41	030.0693	-16.3461
090.9107	-31.5902	RW Col  	Simbad	-1.03	 271	302	47.4	 5.4	 0.82	090.9107	-31.5902
093.3114	-37.2502	RX Col  	Simbad	-1.70	 -18	384	19.9	 2.5	 0.87	093.3114	-37.2502
078.7824	-41.6282	RY Col  	Simbad	-1.11	-169	525	43.4	16.4	 0.82	078.7824	-41.6282
156.3565	+28.7854	V LMi   	Simbad	-1.15	  82	278	20.3	 2.5	 0.81	156.3565	+28.7854
151.5280	+39.3577	X LMi   	Simbad	-1.68	  78	285	20.7	 2.6	 0.85	151.5280	+39.3577
074.0749	-21.2172	U Lep   	Simbad	-1.93	-145	371	10.6	 0.7	 0.45	074.0749	-21.2172
229.5912	-08.4619	TV Lib  	Simbad	-0.27	 288	107	16.4	 1.6	 0.41	229.5912	-08.4619
237.8208	-15.7509	VY Lib  	Simbad	-1.32	 -13	320	12.3	10.9	 0.90	237.8208	-15.7509
135.7824	+44.5856	TT Lyn  	Simbad	-1.76	 104	309	23.0	18.5	 0.66	135.7824	+44.5856
116.2762	+43.1115	TW Lyn  	Simbad	-1.23	 249	 62	14.2	 2.1	 0.18	116.2762	+43.1115
291.3663	+42.7844	RR Lyr  	Simbad	-1.37	 140	249	17.5	 0.3	 0.61	291.3663	+42.7844
280.9078	+32.7983	RZ Lyr  	Simbad	-2.13	  67	266	15.1	 2.3	 0.78	280.9078	+32.7983
280.3164	+28.7225	CN Lyr  	Simbad	-0.26	 274	 77	13.7	 0.4	 0.20	280.3164	+28.7225
281.9180	+35.9928	EZ Lyr  	Simbad	-1.52	 179	116	11.0	 0.9	 0.33	281.9180	+35.9928
275.6583	+32.9590	IO Lyr  	Simbad	-1.52	  87	312	34.3	 9.8	 0.78	275.6583	+32.9590
319.0946	-30.2842	Z Mic   	Simbad	-1.28	 166	131	10.0	 1.7	 0.39	319.0946	-30.2842
206.6323	-84.4018	RV Oct  	Simbad	-1.34	  24	206	 8.3	 5.0	 0.93	206.6323	-84.4018
324.0390	-77.3038	RY Oct  	Simbad	-1.83	  72	175	 7.9	 3.7	 0.66	324.0390	-77.3038
328.3974	-82.7788	SS Oct  	Simbad	-1.60	-158	379	 8.3	 1.1	 0.16	328.3974	-82.7788
248.1064	-83.9029	UV Oct  	Simbad	-1.61	 -30	355	15.4	 8.0	 0.82	248.1064	-83.9029
263.4974	-01.0810	ST Oph  	Simbad	-1.30	 235	 28	 8.6	 0.5	 0.00	263.4974	-01.0810
246.2963	-10.5237	V413 Oph	Simbad	-1.00	 114	111	 7.6	 0.6	 0.29	246.2963	-10.5237
246.1717	-06.5417	V445 Oph	Simbad	-0.23	 214	 68	 9.5	 0.7	 0.17	246.1717	-06.5417
273.8272	+12.3524	V455 Oph	Simbad	-1.42	 -10	307	 9.3	 6.9	 0.88	273.8272	+12.3524
269.0515	-57.1621	WY Pav  	Simbad	-0.98	  -3	320	11.6	 6.6	 0.90	269.0515	-57.1621
294.5141	-60.6110	BN Pav  	Simbad	-1.32	 154	105	 8.0	 1.4	 0.14	294.5141	-60.6110
299.5006	-65.7361	BP Pav  	Simbad	-1.48	-266	478	18.5	 2.7	 0.63	299.5006	-65.7361
333.2663	+18.4511	VV Peg  	Simbad	-1.88	 201	 72	 9.2	 1.4	 0.03	333.2663	+18.4511
328.0116	+22.5748	AV Peg  	Simbad	-0.14	 164	 69	 8.7	 0.5	 0.16	328.0116	+22.5748
343.2543	+15.7879	BH Peg  	Simbad	-1.38	 -68	358	12.9	 1.4	 0.70	343.2543	+15.7879
325.3200	+24.7735	CG Peg  	Simbad	-0.48	 279	 69	 8.6	 0.4	 0.00	325.3200	+24.7735
350.0294	+16.0686	DZ Peg  	Simbad	-1.52	-142	362	 8.7	 1.3	 0.35	350.0294	+16.0686
064.3216	+47.4002	AR Per  	Simbad	-0.43	 229	 28	10.0	 0.3	 0.01	064.3216	+47.4002
352.1311	-47.4536	RV Phe  	Simbad	-1.60	  16	422	36.2	29.0	 0.99	352.1311	-47.4536
072.5276	-50.6570	U Pic   	Simbad	-0.73	 204	 47	 9.1	 1.2	 0.01	072.5276	-50.6570
335.2936	+39.7206	CQ Lac  	Simbad	-2.04	 231	 46	11.1	 0.7	 0.09	335.2936	+39.7206
151.9311	+23.9918	RR Leo  	Simbad	-1.57	 154	130	11.1	 1.2	 0.44	151.9311	+23.9918
170.9932	+26.6150	RX Leo  	Simbad	-1.38	  75	231	11.9	 7.8	 0.58	170.9932	+26.6150
173.4771	-00.0333	SS Leo  	Simbad	-1.83	 -14	252	 9.2	 5.5	 0.93	173.4771	-00.0333
174.6362	+10.5616	ST Leo  	Simbad	-1.29	 -77	307	 9.2	 3.8	 0.64	174.6362	+10.5616
165.4034	+08.1654	SZ Leo  	Simbad	-1.86	 -90	326	 9.8	 1.8	 0.58	165.4034	+08.1654
167.8415	-05.8921	TV Leo  	Simbad	-1.97	 339	132	30.8	 5.9	 0.56	167.8415	-05.8921
142.6087	+07.2059	WW Leo  	Simbad	-1.48	  45	244	12.3	 9.7	 0.60	142.6087	+07.2059
174.8095	+10.3275	AA Leo  	Simbad	-1.47	 -39	277	10.7	 6.2	 0.91	174.8095	+10.3275
171.5507	+17.6610	AE Leo  	Simbad	-1.71	 207	273	38.8	 6.7	 0.78	171.5507	+17.6610
170.8436	+06.6349	AN Leo  	Simbad	-1.14	  42	259	12.1	10.3	 0.59	170.8436	+06.6349
173.2656	+12.1539	AX Leo  	Simbad	-2.28	-161	420	13.8	 3.3	 0.47	173.2656	+12.1539
002.9211	-01.7487	RY Psc  	Simbad	-1.39	  10	346	21.5	13.3	 0.95	002.9211	-01.7487
122.1176	-16.5332	XX Pup  	Simbad	-1.50	 -50	397	20.4	 0.9	 0.87	122.1176	-16.5332
110.1481	-46.7084	HH Pup  	Simbad	-0.69	 204	 20	 8.8	 0.3	 0.00	110.1481	-46.7084
293.0866	-23.8535	V440 Sgr	Simbad	-1.47	  43	181	 7.9	 1.5	 0.83	293.0866	-23.8535
273.3975	-34.3172	V675 Sgr	Simbad	-2.01	 214	188	14.9	 5.0	 0.45	273.3975	-34.3172
265.2020	-31.5422	V494 Sco	Simbad	-1.01	 203	 33	 7.9	 0.3	 0.01	265.2020	-31.5422
000.7005	-24.9453	RU Scl  	Simbad	-1.25	  83	217	11.4	 4.5	 0.68	000.7005	-24.9453
023.8486	-35.1285	VX Scl  	Simbad	-2.25	-156	432	16.3	 7.5	 0.54	023.8486	-35.1285
232.7580	+01.6838	VY Ser  	Simbad	-1.82	 -72	418	21.8	10.6	 0.85	232.7580	+01.6838
238.3794	+12.9611	AN Ser  	Simbad	-0.04	 183	 70	 8.5	 1.1	 0.19	238.3794	+12.9611
233.3784	+02.7772	AR Ser  	Simbad	-1.78	 100	372	31.2	19.0	 0.64	233.3784	+02.7772
238.9182	+07.9888	AT Ser  	Simbad	-2.05	 172	 81	 8.0	 1.5	 0.19	238.9182	+07.9888
240.9667	+00.5967	AV Ser  	Simbad	-1.20	 232	 52	 9.8	 0.9	 0.15	240.9667	+00.5967
232.1514	+03.0899	CS Ser  	Simbad	-1.57	 195	284	25.0	16.0	 0.64	232.1514	+03.0899
161.6745	-08.3757	RV Sex  	Simbad	-1.10	 153	143	10.3	 3.1	 0.40	161.6745	-08.3757
255.1945	-66.6639	RW TrA  	Simbad	-0.07	 205	 64	 8.7	 0.5	 0.12	255.1945	-66.6639
014.5404	-63.3957	W Tuc   	Simbad	-1.64	  94	140	 8.4	 1.9	 0.54	014.5404	-63.3957
203.3254	+53.9874	RV UMa  	Simbad	-1.19	 -71	303	 9.1	 1.6	 0.67	203.3254	+53.9874
172.4520	+30.0673	TU UMa  	Simbad	-1.44	 -16	586	11.4	 6.4	 0.96	172.4520	+30.0673
182.8108	+47.8288	AB UMa  	Simbad	-0.72	 113	118	 9.1	 1.2	 0.49	182.8108	+47.8288
163.2604	-49.9063	AF Vel  	Simbad	-1.64	  29	308	17.6	 8.2	 0.89	163.2604	-49.9063
216.9128	-00.9016	ST Vir  	Simbad	 0.88	 121	117	 7.9	 1.8	 0.42	216.9128	-00.9016
182.1461	-00.4568	UU Vir  	Simbad	-0.82	 141	192	12.8	 1.4	 0.61	182.1461	-00.4568
185.3197	+00.3674	UV Vir  	Simbad	-1.19	  -1	245	 9.5	 6.5	 0.91	185.3197	+00.3674
217.0409	+06.5455	AF Vir  	Simbad	-1.46	 -39	415	24.8	19.7	 0.92	217.0409	+06.5455
200.8889	-16.6661	AM Vir  	Simbad	-1.45	   3	289	10.7	10.1	 0.82	200.8889	-16.6661
193.1910	-10.2599	AS Vir  	Simbad	-1.49	  39	266	12.2	 8.1	 0.77	193.1910	-10.2599
193.7939	-05.4590	AT Vir  	Simbad	-1.91	-255	531	32.7	20.2	 0.65	193.7939	-05.4590
200.0482	+09.1879	AV Vir  	Simbad	-1.32	   3	322	16.2	 9.3	 0.97	200.0482	+09.1879
207.9199	+06.4309	BB Vir  	Simbad	-1.61	  43	296	14.6	 8.1	 0.91	207.9199	+06.4309
189.1137	-02.4260	BQ Vir  	Simbad	-1.32	  60	172	 9.4	 3.9	 0.67	189.1137	-02.4260
291.9836	+24.3474	BN Vul  	Simbad	-1.52	 -86	310	 8.2	 0.9	 0.61	291.9836	+24.3474
